name,total,year_2026,year_2025,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015
"Салиха",864,7,107,143,172,198,143,87,0,7,0,0,0
"Марьяна",833,21,34,38,46,49,79,60,111,111,94,89,101
"Эмма",830,43,97,66,69,57,138,103,85,40,66,41,25
"Теона",822,22,101,111,76,66,123,112,108,83,20,0,0
"Альфия",820,24,62,122,159,180,103,124,46,0,0,0,0
"Каролина",794,22,55,37,19,62,42,72,125,112,67,97,84
"Хадиджа",792,22,112,142,126,124,116,61,9,54,19,0,7
"Марта",759,19,66,27,53,43,62,57,71,76,75,98,112
"Сабина",753,0,0,64,61,106,61,90,74,76,73,87,61
"Мила",740,0,23,22,32,84,62,108,84,75,66,63,121
"Лея",698,32,132,81,65,56,86,84,62,57,25,18,0
"Мелания",691,7,18,0,26,29,71,61,145,126,183,7,18
"Олеся",674,0,11,31,8,0,27,54,49,76,93,150,175
"Сумая",633,19,64,63,116,81,82,69,38,18,43,25,15
"Аглая",633,22,94,99,54,47,45,45,41,29,45,62,50
"Марианна",615,0,14,15,8,17,39,45,90,88,90,118,91
"Мелисса",600,23,89,103,77,63,30,49,66,48,21,18,13
"Афина",600,27,115,127,102,109,83,22,0,8,0,7,0
"Владислава",600,0,32,18,10,29,42,51,52,97,69,107,93
"Наталья",563,0,8,0,16,17,48,46,65,66,29,130,138
"Сара",525,32,109,79,91,56,36,60,0,19,34,9,0
"Медина",515,9,66,66,79,87,26,57,41,60,8,9,7
"Аниса",485,7,73,121,76,67,24,37,30,8,7,18,17
"Алисия",469,7,8,7,38,11,41,31,92,50,65,86,33
"Валентина",436,12,48,19,10,18,0,0,63,63,40,80,83
"Эвелина",380,6,33,0,29,33,0,23,8,52,61,65,70
"Муслима",343,0,0,50,43,87,59,60,27,9,0,8,0
"Марям",335,20,64,78,97,76,0,0,0,0,0,0,0
"Евангелина",320,7,0,0,28,25,9,22,17,68,16,41,87
"Айла",317,9,97,69,62,69,11,0,0,0,0,0,0
"Хадижа",302,0,48,56,68,57,28,10,21,8,6,0,0
"Хадича",284,16,23,71,67,60,35,12,0,0,0,0,0
"Евдокия",275,0,0,0,0,0,0,16,15,24,37,87,96
"Тамара",261,0,0,31,16,8,7,16,10,36,31,55,51
"Лия",241,16,42,56,17,28,16,12,30,9,6,9,0
"Мариям",231,7,45,12,47,64,19,30,0,0,7,0,0
"Аделя",229,0,0,20,27,40,37,62,15,22,0,0,6
"Пелагея",223,0,0,0,0,0,0,11,35,62,30,48,37
"Альбина",218,0,0,7,8,8,9,29,18,11,34,47,47
"Камилла, Камила",202,0,0,0,0,0,0,0,0,106,96,0,0
"Дария",197,0,8,10,18,22,50,55,34,0,0,0,0
"Лада",185,0,0,0,8,0,10,36,0,44,32,0,55
"Виолетта",169,7,0,7,8,0,0,0,7,19,6,40,75
"Лиана",165,0,21,10,18,8,43,21,9,0,23,6,6
"Аруузат",160,7,0,45,20,50,11,19,8,0,0,0,0
"Сумайя",151,0,10,38,70,18,0,0,0,9,0,0,6
"Анфиса",151,0,0,0,0,8,16,0,9,10,16,56,36
"Наталья, Наталия",151,0,0,0,0,0,0,0,0,26,104,21,0
"Азалия",135,0,24,36,15,16,16,28,0,0,0,0,0
"Регина",134,0,7,18,0,10,24,0,44,24,7,0,0
"Моника",124,0,9,0,8,0,9,26,19,21,7,9,16
"Мишель",112,0,9,20,10,29,25,11,8,0,0,0,0
"Анжелика",109,0,0,0,0,0,0,0,9,16,19,16,49
"Ясина",105,0,15,0,28,27,17,18,0,0,0,0,0
"Анисия",96,0,0,0,0,0,8,6,0,0,22,37,23
"Алеся",94,0,0,0,0,0,0,0,0,8,29,14,43
"Олеся, Алеся",88,0,0,0,0,0,0,0,0,38,50,0,0
"Дана",85,0,8,0,9,9,0,7,0,0,0,24,28
"Аяна",85,0,0,0,0,0,8,0,0,6,15,48,8
"Арууке",81,0,0,0,0,25,0,9,0,18,0,23,6
"Юлиана",79,0,0,0,0,0,0,0,9,0,22,30,18
"Фотима",67,0,18,11,10,19,9,0,0,0,0,0,0
"Алла",67,0,0,0,0,0,10,0,0,9,21,15,12
"Станислава",65,9,0,0,8,0,0,0,7,0,6,0,35
"Самия",65,0,7,37,10,11,0,0,0,0,0,0,0
"Камила, Камилла",65,0,0,0,0,0,0,0,0,30,35,0,0
"Сабрина",64,0,8,0,7,0,0,9,16,9,15,0,0
"Влада",64,0,0,8,0,0,0,13,0,0,22,0,21
"Людмила",58,0,8,0,0,0,0,0,0,10,0,16,24
"Василина",56,0,0,8,0,0,0,0,0,0,0,31,17
"Алёна, Алена",56,0,0,0,0,0,0,0,0,0,0,56,0
"Адриана",55,0,0,9,11,10,9,8,8,0,0,0,0
"Садия",51,8,35,0,8,0,0,0,0,0,0,0,0
"Солиха",46,0,7,20,8,11,0,0,0,0,0,0,0
"Наталия",43,0,0,0,0,0,0,0,0,0,0,19,24
"Зайнаб",42,18,9,8,0,0,0,0,0,0,0,7,0
"Нелли",37,0,0,0,0,0,0,0,0,0,0,9,28
"Аиша, Айша",36,0,0,0,0,0,0,0,0,22,14,0,0
"Милослава",32,0,0,9,0,0,0,0,0,0,7,0,16
"Марфа",31,0,8,0,0,0,9,0,0,0,6,0,8
"Эмили",30,0,0,0,12,8,0,10,0,0,0,0,0
"Алсу",28,0,0,0,0,0,0,0,0,7,0,0,21
"Тея",27,9,0,0,0,0,0,9,9,0,0,0,0
"Ася",26,0,0,10,0,9,0,0,0,0,7,0,0
"Даниэла",26,0,0,0,0,0,9,3,0,0,0,7,7
"Изабелла",25,0,0,0,0,0,0,10,0,0,15,0,0
"Виталина",22,0,7,0,0,0,0,0,0,0,0,0,15
"Арианна",22,0,0,0,0,0,7,0,7,8,0,0,0
"Мариам",22,0,0,0,0,0,0,0,0,8,6,0,8
"Адеми",20,0,8,12,0,0,0,0,0,0,0,0,0
"Паулина",20,0,11,9,0,0,0,0,0,0,0,0,0
"Нурия",17,0,0,17,0,0,0,0,0,0,0,0,0
"Сафина",17,0,0,0,8,0,0,0,9,0,0,0,0
"Зарина",17,0,0,0,0,0,0,0,0,0,0,9,8
"Анель",16,7,9,0,0,0,0,0,0,0,0,0,0
"Оиша",16,0,0,16,0,0,0,0,0,0,0,0,0
"Белла",15,0,0,0,0,9,0,0,0,0,6,0,0
"Салима",15,0,0,0,0,8,0,0,0,0,7,0,0
"Доминика",15,0,0,0,0,0,0,9,0,0,6,0,0
"Жасмин",15,0,0,0,0,0,0,0,0,9,0,0,6
"Дина",15,0,0,0,0,0,0,0,0,0,8,0,7
"Галина",14,0,0,0,0,0,8,0,0,0,6,0,0
"Луиза",14,0,0,0,0,0,0,0,0,0,0,0,14
"Саида",12,0,0,0,0,0,0,0,6,0,6,0,0
"Наталия, Наталья",12,0,0,0,0,0,0,0,0,12,0,0,0
"Жасмина",12,0,0,0,0,0,0,0,0,0,0,6,6
"Ани",11,0,0,0,0,0,0,0,0,0,5,6,0
"Мирра",10,0,0,0,0,0,10,0,0,0,0,0,0
"Катерина",9,0,0,0,0,0,0,0,0,0,0,9,0
"Ханифа",8,0,8,0,0,0,0,0,0,0,0,0,0
"Элен",8,0,8,0,0,0,0,0,0,0,0,0,0
"Закия",8,0,0,0,8,0,0,0,0,0,0,0,0
"Наима",8,0,0,0,0,8,0,0,0,0,0,0,0
"Айбийке",8,0,0,0,0,0,0,8,0,0,0,0,0
"Миа",8,0,0,0,0,0,0,0,8,0,0,0,0
"Элиза",8,0,0,0,0,0,0,0,0,0,0,8,0
"Снежана",8,0,0,0,0,0,0,0,0,0,0,0,8
"Омина",7,7,0,0,0,0,0,0,0,0,0,0,0
"Аделия",7,7,0,0,0,0,0,0,0,0,0,0,0
"Альсия",7,7,0,0,0,0,0,0,0,0,0,0,0
"Ойша",7,0,0,7,0,0,0,0,0,0,0,0,0
"Соня",7,0,0,0,0,0,0,0,7,0,0,0,0
"Ясмин",7,0,0,0,0,0,0,0,0,0,0,0,7
"Лина",7,0,0,0,0,0,0,0,0,0,0,0,7
"Элеонора",6,0,0,0,0,0,0,0,0,0,6,0,0
"Аксинья",6,0,0,0,0,0,0,0,0,0,6,0,0
"Рада",6,0,0,0,0,0,0,0,0,0,6,0,0
"Аида",6,0,0,0,0,0,0,0,0,0,0,6,0
"Глафира",6,0,0,0,0,0,0,0,0,0,0,6,0
"Мария ",5,0,0,0,0,0,0,5,0,0,0,0,0
"Луна",3,0,0,0,0,0,0,3,0,0,0,0,0
"Златослава",3,0,0,0,0,0,0,3,0,0,0,0,0
